algorithmName,mazeSize,totalRuns,successfulRuns,successRate,avgPathLength,stdPathLength,avgNodesExplored,stdNodesExplored,avgExecutionTimeMs,stdExecutionTimeMs,avgMemoryBytes,avgPathEfficiency
Depth-First Search,10,10,10,1.0000,32.80,9.11,48.50,18.03,2.3106,3.4530,32597.60,0.7459
Breadth-First Search,10,10,10,1.0000,32.80,9.11,71.70,17.58,31.9410,7.2525,500692.80,0.4694
A* (Manhattan),10,10,10,1.0000,32.80,9.11,55.70,20.75,36.2709,5.6364,180045.60,0.6142
A* (Euclidean),10,10,10,1.0000,32.80,9.11,57.50,19.18,32.3175,4.0589,155584.80,0.5855
Q-Learning,10,10,10,1.0000,32.80,9.11,31.80,9.11,0.1734,0.0725,14045.60,1.0338
Depth-First Search,20,10,10,1.0000,103.60,23.19,181.80,85.22,0.8386,0.3623,104857.60,0.6548
Breadth-First Search,20,10,10,1.0000,103.60,23.19,261.90,66.44,23.8339,1.9092,526728.80,0.4158
A* (Manhattan),20,10,10,1.0000,103.60,23.19,232.80,67.36,24.8360,7.4535,246025.60,0.4658
A* (Euclidean),20,10,10,1.0000,103.60,23.19,236.20,66.51,23.6632,7.2884,246024.80,0.4594
Q-Learning,20,10,10,1.0000,103.60,23.19,102.60,23.19,0.1566,0.0430,0.00,1.0102
Depth-First Search,30,10,10,1.0000,271.40,79.49,506.00,201.47,1.4698,0.7498,209787.20,0.6032
Breadth-First Search,30,10,10,1.0000,271.40,79.49,637.40,130.14,24.2136,3.3059,525085.60,0.4224
A* (Manhattan),30,10,10,1.0000,271.40,79.49,586.80,127.74,22.5127,2.5748,477488.80,0.4596
A* (Euclidean),30,10,10,1.0000,271.40,79.49,594.40,126.88,22.6000,2.0675,477489.60,0.4535
Q-Learning,30,10,10,1.0000,271.40,79.49,270.40,79.49,0.3555,0.1448,52428.80,1.0040
Depth-First Search,50,10,10,1.0000,643.40,224.45,1416.30,504.54,3.5890,2.0803,524288.00,0.5205
Breadth-First Search,50,10,10,1.0000,643.40,224.45,1906.00,361.72,21.8265,5.8860,1048576.00,0.3331
A* (Manhattan),50,10,10,1.0000,643.40,224.45,1828.80,380.75,22.3882,4.0790,1107168.80,0.3476
A* (Euclidean),50,10,10,1.0000,643.40,224.45,1841.50,371.71,23.1752,5.2525,1104216.80,0.3449
Q-Learning,50,10,6,0.6000,493.33,85.46,492.33,85.46,0.6494,0.2550,262144.00,1.0021
Depth-First Search,100,10,10,1.0000,2044.00,569.88,5778.60,2183.97,4.4515,1.7191,2099652.00,0.3919
Breadth-First Search,100,10,10,1.0000,2044.00,569.88,7111.80,1148.88,22.6111,4.9820,2778726.40,0.2873
A* (Manhattan),100,10,10,1.0000,2044.00,569.88,6925.20,1178.76,27.9392,4.1399,3705922.40,0.2950
A* (Euclidean),100,10,10,1.0000,2044.00,569.88,6967.10,1165.33,25.8909,3.4307,3699678.40,0.2931
Q-Learning,100,10,0,0.0000,0.00,0.00,0.00,0.00,0.0000,0.0000,0.00,0.0000
