algorithmName,mazeSize,totalRuns,successfulRuns,successRate,avgPathLength,stdPathLength,avgNodesExplored,stdNodesExplored,avgExecutionTimeMs,stdExecutionTimeMs,avgMemoryBytes,avgPathEfficiency
Depth-First Search,10,10,10,1.0000,29.20,4.66,41.20,14.27,2.3922,5.2676,1070.40,0.7716
Breadth-First Search,10,10,10,1.0000,21.40,3.63,90.50,10.95,27.6088,4.3369,356292.80,0.2384
A* (Manhattan),10,10,10,1.0000,21.40,3.63,51.10,17.98,27.9764,6.1234,206607.20,0.4589
A* (Euclidean),10,10,10,1.0000,21.40,3.63,61.60,11.47,29.6717,9.8301,207696.80,0.3548
Q-Learning,10,10,10,1.0000,21.40,3.63,20.40,3.63,0.0965,0.0350,4072.00,1.0501
Depth-First Search,20,10,10,1.0000,82.40,19.02,131.80,66.02,0.5469,0.2013,57904.80,0.7160
Breadth-First Search,20,10,10,1.0000,43.40,2.46,389.70,14.14,20.6583,2.9776,495859.20,0.1115
A* (Manhattan),20,10,10,1.0000,43.40,2.46,202.70,91.95,20.6119,2.4826,251731.20,0.2577
A* (Euclidean),20,10,10,1.0000,43.40,2.46,292.10,55.73,21.0591,2.7528,251514.40,0.1537
Q-Learning,20,10,10,1.0000,43.60,2.67,42.60,2.67,0.1045,0.0241,0.00,1.0236
Depth-First Search,30,10,10,1.0000,154.80,52.89,433.60,242.20,1.0757,0.4832,209715.20,0.4598
Breadth-First Search,30,10,10,1.0000,67.20,5.69,894.60,4.81,19.2634,2.4768,524288.00,0.0751
A* (Manhattan),30,10,10,1.0000,67.20,5.69,392.20,183.89,18.2814,1.3876,376553.60,0.2044
A* (Euclidean),30,10,10,1.0000,67.20,5.69,630.90,90.81,20.1908,2.7278,502005.60,0.1076
Q-Learning,30,10,10,1.0000,67.40,5.64,66.40,5.64,0.1300,0.0508,0.00,1.0152
Depth-First Search,50,10,10,1.0000,304.80,102.03,1070.80,756.82,3.2008,2.8661,524288.00,0.4619
Breadth-First Search,50,10,10,1.0000,111.60,5.17,2493.70,5.70,23.5626,4.1067,1048576.00,0.0448
A* (Manhattan),50,10,10,1.0000,111.60,5.17,1161.10,471.02,25.9564,2.0376,832434.40,0.1220
A* (Euclidean),50,10,10,1.0000,111.60,5.17,1911.40,251.45,27.3835,3.1166,1240811.20,0.0592
Q-Learning,50,10,10,1.0000,112.20,5.09,111.20,5.09,0.1558,0.0279,0.00,1.0090
Depth-First Search,100,10,10,1.0000,709.40,137.74,3278.60,2551.59,4.5870,3.5042,1363148.80,0.4053
Breadth-First Search,100,10,10,1.0000,213.00,5.33,9993.80,8.05,31.0470,3.8876,3670016.00,0.0213
A* (Manhattan),100,10,10,1.0000,213.00,5.33,4381.70,1626.29,29.9481,6.2718,2738008.00,0.0564
A* (Euclidean),100,10,10,1.0000,213.00,5.33,8095.70,622.19,40.6726,7.4633,4570593.60,0.0264
Q-Learning,100,10,10,1.0000,213.60,5.25,212.60,5.25,0.3160,0.0606,0.00,1.0047
