algorithmName,mazeSize,totalRuns,successfulRuns,successRate,avgPathLength,stdPathLength,avgNodesExplored,stdNodesExplored,avgExecutionTimeMs,stdExecutionTimeMs,avgMemoryBytes,avgPathEfficiency
Depth-First Search,10,30,30,1.0000,37.13,10.22,58.33,19.05,8.7921,10.6664,189021.60,0.6900
Breadth-First Search,10,30,30,1.0000,37.13,10.22,77.00,15.94,22.4142,4.0047,350802.93,0.4880
A* (Manhattan),10,30,30,1.0000,37.13,10.22,65.37,19.52,23.0021,5.4843,239165.33,0.5824
A* (Euclidean),10,30,30,1.0000,37.13,10.22,67.10,18.42,22.3476,5.8593,239530.13,0.5624
Q-Learning,10,30,30,1.0000,37.13,10.22,36.13,10.22,0.1148,0.0441,2782.13,1.0300
Depth-First Search,20,30,30,1.0000,108.07,35.81,194.10,81.18,5.6271,3.2077,386569.60,0.6248
Breadth-First Search,20,30,30,1.0000,108.07,35.81,268.23,71.36,18.8777,2.3661,524466.13,0.4118
A* (Manhattan),20,30,30,1.0000,108.07,35.81,243.07,75.16,18.6774,1.8053,249768.27,0.4544
A* (Euclidean),20,30,30,1.0000,108.07,35.81,246.77,74.24,18.8464,1.9502,249962.67,0.4474
Q-Learning,20,30,25,0.8333,95.00,19.81,94.00,19.81,0.1504,0.0377,0.00,1.0111
Depth-First Search,30,30,30,1.0000,227.20,75.77,487.13,203.54,12.9143,6.7146,891596.53,0.5366
Breadth-First Search,30,30,30,1.0000,227.20,75.77,602.97,141.85,21.5443,3.4216,524664.27,0.3754
A* (Manhattan),30,30,30,1.0000,227.20,75.77,549.13,150.09,21.0901,3.7978,434760.27,0.4149
A* (Euclidean),30,30,30,1.0000,227.20,75.77,558.47,149.04,21.3024,2.9964,435748.00,0.4076
Q-Learning,30,30,1,0.0333,103.00,0.00,102.00,0.00,0.1915,0.0000,0.00,1.0098
Depth-First Search,50,30,30,1.0000,629.60,217.07,1295.80,486.94,27.6718,11.0573,2464350.67,0.5447
Breadth-First Search,50,30,30,1.0000,629.60,217.07,1890.80,383.96,18.7897,2.4952,963097.60,0.3308
A* (Manhattan),50,30,30,1.0000,629.60,217.07,1821.70,397.21,22.2119,3.6744,1105026.40,0.3435
A* (Euclidean),50,30,30,1.0000,629.60,217.07,1835.17,392.29,23.0675,3.8191,1070928.80,0.3411
Q-Learning,50,30,0,0.0000,0.00,0.00,0.00,0.00,0.0000,0.0000,0.00,0.0000
Depth-First Search,100,30,30,1.0000,1974.73,498.59,5443.20,2001.64,109.0621,47.6666,9874090.67,0.4198
Breadth-First Search,100,30,30,1.0000,1974.73,498.59,7265.57,1434.94,26.5778,7.4993,2798511.47,0.2779
A* (Manhattan),100,30,30,1.0000,1974.73,498.59,7111.40,1461.14,33.8666,7.5739,3762146.40,0.2842
A* (Euclidean),100,30,30,1.0000,1974.73,498.59,7146.50,1447.93,34.4619,8.3286,3763133.07,0.2827
Q-Learning,100,30,0,0.0000,0.00,0.00,0.00,0.00,0.0000,0.0000,0.00,0.0000
