algorithmName,mazeSize,totalRuns,successfulRuns,successRate,avgPathLength,stdPathLength,avgNodesExplored,stdNodesExplored,avgExecutionTimeMs,stdExecutionTimeMs,avgMemoryBytes,avgPathEfficiency
Depth-First Search,10,30,30,1.0000,31.80,8.62,45.53,18.63,18.9849,31.6175,133812.00,0.7685
Breadth-First Search,10,30,30,1.0000,22.33,3.34,91.53,9.96,51.3778,14.8769,334526.93,0.2475
A* (Manhattan),10,30,30,1.0000,22.33,3.34,53.93,15.61,51.5640,20.0203,232217.33,0.4444
A* (Euclidean),10,30,30,1.0000,22.33,3.34,63.93,12.42,50.9456,14.2131,231283.73,0.3619
Q-Learning,10,30,30,1.0000,22.33,3.34,21.33,3.34,0.2137,0.0836,0.00,1.0478
Depth-First Search,20,30,30,1.0000,85.87,28.49,147.87,77.34,10.9240,6.3570,300853.33,0.6732
Breadth-First Search,20,30,30,1.0000,43.67,3.29,392.63,10.58,41.8772,3.3465,515210.67,0.1113
A* (Manhattan),20,30,30,1.0000,43.67,3.29,182.00,78.32,40.8414,5.6372,250056.27,0.2763
A* (Euclidean),20,30,30,1.0000,43.67,3.29,276.43,50.11,43.0173,7.6594,250361.33,0.1626
Q-Learning,20,30,30,1.0000,43.80,3.35,42.80,3.35,0.2272,0.0774,0.00,1.0235
Depth-First Search,30,30,30,1.0000,149.40,40.25,345.30,221.32,14.5630,15.6457,668460.00,0.5853
Breadth-First Search,30,30,30,1.0000,66.33,4.21,895.10,6.04,31.2334,10.8811,524288.00,0.0741
A* (Manhattan),30,30,30,1.0000,66.33,4.21,423.17,158.21,35.0510,9.8637,400338.40,0.1791
A* (Euclidean),30,30,30,1.0000,66.33,4.21,664.70,89.89,39.7014,10.0827,501724.00,0.1010
Q-Learning,30,30,30,1.0000,66.53,4.22,65.53,4.22,0.1713,0.0817,0.00,1.0153
Depth-First Search,50,30,30,1.0000,299.53,95.26,1212.53,672.65,60.0257,32.6184,2223545.07,0.3673
Breadth-First Search,50,30,30,1.0000,110.80,4.65,2492.73,10.85,49.5793,5.6788,1049472.27,0.0444
A* (Manhattan),50,30,30,1.0000,110.80,4.65,1176.70,428.01,51.0048,7.9366,787397.33,0.1117
A* (Euclidean),50,30,30,1.0000,110.80,4.65,1958.53,208.83,55.4556,11.4106,1206859.20,0.0571
Q-Learning,50,30,2,0.0667,110.00,1.41,109.00,1.41,0.4037,0.0103,0.00,1.0092
Depth-First Search,100,30,30,1.0000,725.07,191.82,3753.13,3139.51,122.9412,106.2744,7042935.47,0.4279
Breadth-First Search,100,30,30,1.0000,215.40,6.38,9994.40,7.89,49.4157,17.2462,3723492.53,0.0216
A* (Manhattan),100,30,30,1.0000,215.40,6.38,4633.77,1497.59,53.9269,21.6029,2845673.33,0.0523
A* (Euclidean),100,30,30,1.0000,215.40,6.38,8194.00,570.97,81.6240,30.2613,4640508.80,0.0264
Q-Learning,100,30,0,0.0000,0.00,0.00,0.00,0.00,0.0000,0.0000,0.00,0.0000
