algorithmName,mazeSize,runIndex,seed,pathFound,pathLength,nodesExplored,executionTimeNs,executionTimeMs,memoryUsedBytes,pathEfficiency
Depth-First Search,10,0,42,true,31,41,1958667,1.9587,0,0.7561
Breadth-First Search,10,0,42,true,31,99,27812763,27.8128,482376,0.3131
A* (Manhattan),10,0,42,true,31,70,23672431,23.6724,62936,0.4429
A* (Euclidean),10,0,42,true,31,72,26568202,26.5682,125888,0.4306
Q-Learning,10,0,42,true,31,30,165348,0.1653,30064,1.0333
Depth-First Search,10,1,43,true,23,23,1411731,1.4117,0,1.0000
Breadth-First Search,10,1,43,true,21,98,28634483,28.6345,660632,0.2143
A* (Manhattan),10,1,43,true,21,65,39224879,39.2249,159384,0.3231
A* (Euclidean),10,1,43,true,21,74,27552694,27.5527,119528,0.2838
Q-Learning,10,1,43,true,21,20,64844,0.0648,10656,1.0500
Depth-First Search,10,2,44,true,27,60,583983,0.5840,10704,0.4500
Breadth-First Search,10,2,44,true,19,74,35529761,35.5298,162152,0.2568
A* (Manhattan),10,2,44,true,19,30,32856071,32.8561,162152,0.6333
A* (Euclidean),10,2,44,true,19,42,53897772,53.8978,149968,0.4524
Q-Learning,10,2,44,true,19,18,67483,0.0675,0,1.0556
Depth-First Search,10,3,45,true,23,23,384761,0.3848,0,1.0000
Breadth-First Search,10,3,45,true,23,81,25730010,25.7300,524288,0.2840
A* (Manhattan),10,3,45,true,23,32,24035512,24.0355,228368,0.7188
A* (Euclidean),10,3,45,true,23,56,26798168,26.7982,228368,0.4107
Q-Learning,10,3,45,true,23,22,104452,0.1045,0,1.0455
Depth-First Search,10,4,46,true,35,51,708056,0.7081,0,0.6863
Breadth-First Search,10,4,46,true,19,95,24321161,24.3212,236360,0.2000
A* (Manhattan),10,4,46,true,19,38,23519396,23.5194,236360,0.5000
A* (Euclidean),10,4,46,true,19,52,21030631,21.0306,236360,0.3654
Q-Learning,10,4,46,true,19,18,63479,0.0635,0,1.0556
Depth-First Search,10,5,47,true,27,27,493720,0.4937,0,1.0000
Breadth-First Search,10,5,47,true,21,100,31640224,31.6402,239560,0.2100
A* (Manhattan),10,5,47,true,21,83,28930323,28.9303,239560,0.2530
A* (Euclidean),10,5,47,true,21,78,38518945,38.5189,239560,0.2692
Q-Learning,10,5,47,true,21,20,67948,0.0679,0,1.0500
Depth-First Search,10,6,48,true,31,39,539381,0.5394,0,0.7949
Breadth-First Search,10,6,48,true,19,72,22916563,22.9166,240016,0.2639
A* (Manhattan),10,6,48,true,19,41,28068903,28.0689,240016,0.4634
A* (Euclidean),10,6,48,true,19,54,25411381,25.4114,240016,0.3519
Q-Learning,10,6,48,true,19,18,123669,0.1237,0,1.0556
Depth-First Search,10,7,49,true,27,61,17304661,17.3047,0,0.4426
Breadth-First Search,10,7,49,true,21,89,31595809,31.5958,524288,0.2360
A* (Manhattan),10,7,49,true,21,60,25317487,25.3175,244040,0.3500
A* (Euclidean),10,7,49,true,21,63,23403096,23.4031,244040,0.3333
Q-Learning,10,7,49,true,21,20,131994,0.1320,0,1.0500
Depth-First Search,10,8,50,true,31,36,285306,0.2853,0,0.8611
Breadth-First Search,10,8,50,true,21,97,26214581,26.2146,241968,0.2165
A* (Manhattan),10,8,50,true,21,38,34929820,34.9298,241968,0.5526
A* (Euclidean),10,8,50,true,21,56,22697337,22.6973,241968,0.3750
Q-Learning,10,8,50,true,21,20,74818,0.0748,0,1.0500
Depth-First Search,10,9,51,true,37,51,251235,0.2512,0,0.7255
Breadth-First Search,10,9,51,true,19,100,21692844,21.6928,251288,0.1900
A* (Manhattan),10,9,51,true,19,54,19208988,19.2090,251288,0.3519
A* (Euclidean),10,9,51,true,19,69,30839211,30.8392,251272,0.2754
Q-Learning,10,9,51,true,19,18,101261,0.1013,0,1.0556
Depth-First Search,20,0,42,true,95,106,737715,0.7377,221016,0.8962
Breadth-First Search,20,0,42,true,45,399,25592910,25.5929,240000,0.1128
A* (Manhattan),20,0,42,true,45,186,18799915,18.7999,240000,0.2419
A* (Euclidean),20,0,42,true,45,273,19495966,19.4960,240000,0.1648
Q-Learning,20,0,42,true,45,44,127761,0.1278,0,1.0227
Depth-First Search,20,1,43,true,65,72,644946,0.6449,0,0.9028
Breadth-First Search,20,1,43,true,43,385,22758409,22.7584,524288,0.1117
A* (Manhattan),20,1,43,true,43,168,21154436,21.1544,246496,0.2560
A* (Euclidean),20,1,43,true,43,250,21945779,21.9458,246496,0.1720
Q-Learning,20,1,43,true,43,42,98266,0.0983,0,1.0238
Depth-First Search,20,2,44,true,63,77,421948,0.4219,0,0.8182
Breadth-First Search,20,2,44,true,41,362,22687907,22.6879,524288,0.1133
A* (Manhattan),20,2,44,true,41,83,22328229,22.3282,246864,0.4940
A* (Euclidean),20,2,44,true,41,179,20765854,20.7659,246864,0.2291
Q-Learning,20,2,44,true,41,40,139567,0.1396,0,1.0250
Depth-First Search,20,3,45,true,99,187,725091,0.7251,0,0.5294
Breadth-First Search,20,3,45,true,47,367,22168883,22.1689,524288,0.1281
A* (Manhattan),20,3,45,true,47,262,23445614,23.4456,250312,0.1794
A* (Euclidean),20,3,45,true,47,292,25676494,25.6765,250312,0.1610
Q-Learning,20,3,45,true,47,46,81140,0.0811,0,1.0217
Depth-First Search,20,4,46,true,79,200,678382,0.6784,0,0.3950
Breadth-First Search,20,4,46,true,41,391,17896079,17.8961,524288,0.1049
A* (Manhattan),20,4,46,true,41,128,23258325,23.2583,248592,0.3203
A* (Euclidean),20,4,46,true,41,288,24748255,24.7483,248592,0.1424
Q-Learning,20,4,46,true,41,40,89641,0.0896,0,1.0250
Depth-First Search,20,5,47,true,103,222,640688,0.6407,229712,0.4640
Breadth-First Search,20,5,47,true,45,400,17977596,17.9776,524288,0.1125
A* (Manhattan),20,5,47,true,45,350,17959768,17.9598,281232,0.1286
A* (Euclidean),20,5,47,true,45,369,18227801,18.2278,279064,0.1220
Q-Learning,20,5,47,true,45,44,125423,0.1254,0,1.0227
Depth-First Search,20,6,48,true,73,83,317931,0.3179,128320,0.8795
Breadth-First Search,20,6,48,true,39,396,18215156,18.2152,524288,0.0985
A* (Manhattan),20,6,48,true,39,99,16748191,16.7482,250968,0.3939
A* (Euclidean),20,6,48,true,39,286,18132821,18.1328,250968,0.1364
Q-Learning,20,6,48,true,39,38,83709,0.0837,0,1.0263
Depth-First Search,20,7,49,true,63,66,261395,0.2614,0,0.9545
Breadth-First Search,20,7,49,true,45,400,23394645,23.3946,524288,0.1125
A* (Manhattan),20,7,49,true,45,333,22211882,22.2119,250792,0.1351
A* (Euclidean),20,7,49,true,45,371,22765785,22.7658,250792,0.1213
Q-Learning,20,7,49,true,47,46,84992,0.0850,0,1.0217
Depth-First Search,20,8,50,true,69,87,286337,0.2863,0,0.7931
Breadth-First Search,20,8,50,true,45,398,18850934,18.8509,524288,0.1131
A* (Manhattan),20,8,50,true,45,238,22213431,22.2134,251008,0.1891
A* (Euclidean),20,8,50,true,45,292,21007311,21.0073,251008,0.1541
Q-Learning,20,8,50,true,45,44,80746,0.0807,0,1.0227
Depth-First Search,20,9,51,true,115,218,754935,0.7549,0,0.5275
Breadth-First Search,20,9,51,true,43,399,17040100,17.0401,524288,0.1078
A* (Manhattan),20,9,51,true,43,180,17999373,17.9994,251048,0.2389
A* (Euclidean),20,9,51,true,43,321,17824881,17.8249,251048,0.1340
Q-Learning,20,9,51,true,43,42,133768,0.1338,0,1.0238
Depth-First Search,30,0,42,true,137,215,802844,0.8028,0,0.6372
Breadth-First Search,30,0,42,true,75,891,22170821,22.1708,524288,0.0842
