algorithmName,mazeSize,runIndex,seed,pathFound,pathLength,nodesExplored,executionTimeNs,executionTimeMs,memoryUsedBytes,pathEfficiency
Depth-First Search,10,0,42,true,37,45,10221555,10.2216,0,0.8222
Breadth-First Search,10,0,42,true,37,51,46890007,46.8900,482376,0.7255
A* (Manhattan),10,0,42,true,37,47,31536293,31.5363,125872,0.7872
A* (Euclidean),10,0,42,true,37,47,31712659,31.7127,62944,0.7872
Q-Learning,10,0,42,true,37,36,187253,0.1873,0,1.0278
Depth-First Search,10,1,43,true,33,38,1237005,1.2370,76968,0.8684
Breadth-First Search,10,1,43,true,33,93,29740555,29.7406,524288,0.3548
A* (Manhattan),10,1,43,true,33,70,39598434,39.5984,153952,0.4714
A* (Euclidean),10,1,43,true,33,71,27727083,27.7271,153952,0.4648
Q-Learning,10,1,43,true,33,32,122135,0.1221,0,1.0313
Depth-First Search,10,2,44,true,43,72,7169251,7.1693,102816,0.5972
Breadth-First Search,10,2,44,true,43,78,29580331,29.5803,556000,0.5513
A* (Manhattan),10,2,44,true,43,71,36722910,36.7229,179512,0.6056
A* (Euclidean),10,2,44,true,43,72,30322835,30.3228,173144,0.5972
Q-Learning,10,2,44,true,43,42,154302,0.1543,140456,1.0238
Depth-First Search,10,3,45,true,23,23,966900,0.9669,0,1.0000
Breadth-First Search,10,3,45,true,23,69,36042386,36.0424,664112,0.3333
A* (Manhattan),10,3,45,true,23,30,41915143,41.9151,197400,0.7667
A* (Euclidean),10,3,45,true,23,38,37347280,37.3473,185904,0.6053
Q-Learning,10,3,45,true,23,22,112551,0.1126,0,1.0455
Depth-First Search,10,4,46,true,31,46,951777,0.9518,0,0.6739
Breadth-First Search,10,4,46,true,31,49,26770467,26.7705,524288,0.6327
A* (Manhattan),10,4,46,true,31,48,41859197,41.8592,198912,0.6458
A* (Euclidean),10,4,46,true,31,43,35926099,35.9261,159136,0.7209
Q-Learning,10,4,46,true,31,30,111908,0.1119,0,1.0333
Depth-First Search,10,5,47,true,39,44,463352,0.4634,0,0.8864
Breadth-First Search,10,5,47,true,39,93,36475948,36.4759,524288,0.4194
A* (Manhattan),10,5,47,true,39,76,44847741,44.8477,207104,0.5132
A* (Euclidean),10,5,47,true,39,77,39845758,39.8458,165688,0.5065
Q-Learning,10,5,47,true,39,38,202588,0.2026,0,1.0263
Depth-First Search,10,6,48,true,23,23,533643,0.5336,0,1.0000
Breadth-First Search,10,6,48,true,23,57,25469372,25.4694,524288,0.4035
A* (Manhattan),10,6,48,true,23,36,27882985,27.8830,208584,0.6389
A* (Euclidean),10,6,48,true,23,38,31203186,31.2032,166872,0.6053
Q-Learning,10,6,48,true,23,22,309466,0.3095,0,1.0455
Depth-First Search,10,7,49,true,49,55,812430,0.8124,146192,0.8909
Breadth-First Search,10,7,49,true,49,96,38118579,38.1186,158712,0.5104
A* (Manhattan),10,7,49,true,49,93,34361155,34.3612,158712,0.5269
A* (Euclidean),10,7,49,true,49,93,28279720,28.2797,158712,0.5269
Q-Learning,10,7,49,true,49,48,284881,0.2849,0,1.0208
Depth-First Search,10,8,50,true,23,70,321707,0.3217,0,0.3286
Breadth-First Search,10,8,50,true,23,65,23854995,23.8550,524288,0.3538
A* (Manhattan),10,8,50,true,23,35,33569280,33.5693,204608,0.6571
A* (Euclidean),10,8,50,true,23,45,29180818,29.1808,163696,0.5111
Q-Learning,10,8,50,true,23,22,120932,0.1209,0,1.0455
Depth-First Search,10,9,51,true,27,69,428400,0.4284,0,0.3913
Breadth-First Search,10,9,51,true,27,66,26467757,26.4678,524288,0.4091
A* (Manhattan),10,9,51,true,27,51,30416076,30.4161,165800,0.5294
A* (Euclidean),10,9,51,true,27,51,31629513,31.6295,165800,0.5294
Q-Learning,10,9,51,true,27,26,128282,0.1283,0,1.0385
Depth-First Search,20,0,42,true,91,127,697035,0.6970,0,0.7165
Breadth-First Search,20,0,42,true,91,262,22279342,22.2793,524288,0.3473
A* (Manhattan),20,0,42,true,91,221,42233264,42.2333,208600,0.4118
A* (Euclidean),20,0,42,true,91,224,41026088,41.0261,208600,0.4063
Q-Learning,20,0,42,true,91,90,115065,0.1151,0,1.0111
Depth-First Search,20,1,43,true,97,328,999277,0.9993,0,0.2957
Breadth-First Search,20,1,43,true,97,229,24414055,24.4141,524288,0.4236
A* (Manhattan),20,1,43,true,97,196,19702918,19.7029,248424,0.4949
A* (Euclidean),20,1,43,true,97,203,19590136,19.5901,248424,0.4778
Q-Learning,20,1,43,true,97,96,169910,0.1699,0,1.0104
Depth-First Search,20,2,44,true,121,153,987143,0.9871,524288,0.7908
Breadth-First Search,20,2,44,true,121,188,23953311,23.9533,548696,0.6436
A* (Manhattan),20,2,44,true,121,173,30342378,30.3424,255944,0.6994
A* (Euclidean),20,2,44,true,121,173,25100158,25.1002,255936,0.6994
Q-Learning,20,2,44,true,121,120,239190,0.2392,0,1.0083
Depth-First Search,20,3,45,true,97,204,1302012,1.3020,0,0.4755
Breadth-First Search,20,3,45,true,97,267,23671319,23.6713,524288,0.3633
A* (Manhattan),20,3,45,true,97,230,22686695,22.6867,251000,0.4217
A* (Euclidean),20,3,45,true,97,231,18689236,18.6892,251000,0.4199
Q-Learning,20,3,45,true,97,96,125238,0.1252,0,1.0104
Depth-First Search,20,4,46,true,125,334,1384096,1.3841,524288,0.3743
Breadth-First Search,20,4,46,true,125,255,26365510,26.3655,524288,0.4902
A* (Manhattan),20,4,46,true,125,246,19317333,19.3173,249024,0.5081
A* (Euclidean),20,4,46,true,125,248,17179695,17.1797,249024,0.5040
Q-Learning,20,4,46,true,125,124,153935,0.1539,0,1.0081
Depth-First Search,20,5,47,true,93,100,275354,0.2754,0,0.9300
Breadth-First Search,20,5,47,true,93,357,21137749,21.1377,524288,0.2605
